country,population_millions,gdp_usd_billions,gdp_per_capita_usd,life_expectancy,literacy_rate_pct,access_to_electricity_pct,hdi,infant_mortality_per1000,forest_area_pct,co2_emissions_mt,agriculture_pct_gdp,oil_production_bpd,area_km2,internet_users_pct
Chad,17.96,14.20,791,57.4,38.9,17.8,0.394,64.2,7.5,0.29,23.1,124000,1284000,16.0
Niger,27.20,14.90,548,62.3,37.3,19.3,0.400,44.2,0.9,0.12,41.6,20000,1267000,22.4
Nigeria,223.80,472.60,2112,53.9,62.0,59.5,0.539,72.0,7.2,4.21,21.9,1250000,923768,55.4
Sudan,48.10,34.50,717,65.1,60.7,53.8,0.510,42.3,4.4,0.38,20.3,59000,1886068,30.9
Libya,6.89,42.80,6212,72.9,91.0,68.5,0.718,10.5,0.1,1.12,1.3,980000,1759540,84.2
Cameroon,28.65,44.30,1547,60.3,77.1,65.0,0.576,48.8,42.3,0.34,15.8,53000,475442,46.8
Central African Republic,5.74,2.38,415,53.7,37.4,15.5,0.387,82.1,35.3,0.07,43.2,0,622984,11.4
